seed,episodic_return,env,id
24,7802.296875,Breakout-MinAtar,894
25,7789.3125,Breakout-MinAtar,894
26,54.5625,Breakout-MinAtar,894
27,58.125,Breakout-MinAtar,894
28,42.28125,Breakout-MinAtar,894
29,44.34375,Breakout-MinAtar,894
0,55.125,Breakout-MinAtar,1151
1,40.5625,Breakout-MinAtar,1151
2,7778.078125,Breakout-MinAtar,1151
3,7746.515625,Breakout-MinAtar,1151
4,38.625,Breakout-MinAtar,1151
5,38.6875,Breakout-MinAtar,1151
6,50.90625,Breakout-MinAtar,1151
7,7854.921875,Breakout-MinAtar,1151
8,7753.640625,Breakout-MinAtar,1151
9,7801.671875,Breakout-MinAtar,1151
10,51.25,Breakout-MinAtar,1151
11,7817.5,Breakout-MinAtar,1151
12,40.71875,Breakout-MinAtar,1151
13,59.65625,Breakout-MinAtar,1151
14,41.0625,Breakout-MinAtar,1151
15,47.3125,Breakout-MinAtar,1151
16,7786.734375,Breakout-MinAtar,1151
17,40.34375,Breakout-MinAtar,1151
18,52.0,Breakout-MinAtar,1151
19,45.6875,Breakout-MinAtar,1151
20,53.96875,Breakout-MinAtar,1151
21,7789.40625,Breakout-MinAtar,1151
22,47.1875,Breakout-MinAtar,1151
23,36.96875,Breakout-MinAtar,1151
24,56.25,Breakout-MinAtar,1151
25,49.875,Breakout-MinAtar,1151
26,7775.4375,Breakout-MinAtar,1151
27,7800.921875,Breakout-MinAtar,1151
28,49.1875,Breakout-MinAtar,1151
29,42.5,Breakout-MinAtar,1151
0,82119.65625,Breakout-MinAtar,23
1,90179.53125,Breakout-MinAtar,23
2,87255.0625,Breakout-MinAtar,23
3,83948.90625,Breakout-MinAtar,23
4,81768.328125,Breakout-MinAtar,23
5,81971.140625,Breakout-MinAtar,23
6,80867.375,Breakout-MinAtar,23
7,81339.5625,Breakout-MinAtar,23
8,90525.203125,Breakout-MinAtar,23
9,87450.296875,Breakout-MinAtar,23
10,127087.53125,Breakout-MinAtar,23
11,81807.703125,Breakout-MinAtar,23
12,89888.5,Breakout-MinAtar,23
13,82147.6875,Breakout-MinAtar,23
14,83507.59375,Breakout-MinAtar,23
15,81987.546875,Breakout-MinAtar,23
16,127225.078125,Breakout-MinAtar,23
17,80042.03125,Breakout-MinAtar,23
18,81502.96875,Breakout-MinAtar,23
19,81809.671875,Breakout-MinAtar,23
20,81639.609375,Breakout-MinAtar,23
